StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,5,6,7,8,9,10,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,13,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,15,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,17,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,19,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,21,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,23,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,Q36,Q37,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,Q38,Q39,Q42_1,Q42_2,Q38 - Parent Topics,Q38 - Sentiment Polarity,Q38 - Sentiment Score,Q38 - Sentiment,Q38 - Topic Sentiment Label,Q38 - Topic Sentiment Score,Q38 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select your gender.,How old are you?,What is your major?,"Use all the words provided to make a sentence:dog, ball, run","Use all the words provided to make a sentence:student, school, test","Use all the words provided to make a sentence:clothes, boy, dirty, baseball","Use all the words provided to make a sentence:cars, slow, friends, tunnel, party","Use all the words provided to make a sentence:beach, family, school, summer, ice cream.","Use all the words provided to make a sentence:prom, school, girl, ruined, shopping",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Your answer:Please separate each digit with commas, if you don't remember a digit, leave that space blank.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is going on with the boy in the yellow shirt?,What were the two words you were shown previously?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is going on with the girl in the blue sweater?,What were the two words you were shown previously?,Please answer the following questions regarding how often you read and write. - How often do you read?,Please answer the following questions regarding how often you read and write. - How often do you write?,Q38 - Parent Topics,Q38 - Sentiment Polarity,Q38 - Sentiment Score,Q38 - Sentiment,Q38 - Topic Sentiment Label,Q38 - Topic Sentiment Score,Q38 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID38_FIRST_CLICK""}","{""ImportId"":""QID38_LAST_CLICK""}","{""ImportId"":""QID38_PAGE_SUBMIT""}","{""ImportId"":""QID38_CLICK_COUNT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID39_FIRST_CLICK""}","{""ImportId"":""QID39_LAST_CLICK""}","{""ImportId"":""QID39_PAGE_SUBMIT""}","{""ImportId"":""QID39_CLICK_COUNT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edParTopics""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edSenPol""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edSenScore""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edSentiment""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edTopicSenLabel""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edTopicSenScore""}","{""ImportId"":""QID48_TEXT_ff9025d8d5b64357bf5748edTopics""}"
10/6/2020 10:39,10/6/2020 10:45,IP Address,174.225.7.217,100,408,TRUE,10/6/2020 10:45,R_3QQ9m1bnr5NZirt,,,,,40.80220032,-74.19139862,anonymous,EN,Female,22,College of Humanities and Social Science,the dog runs after a ball,the student took a test at school,the boy got his clothes dirty while playing baseball ,after the party my friends drove slowly through the tunnel ,after summer school my family went to the beach and got ice cream,"at school, a girl talked about how she went shopping for prom and then ruined her shirt at the mall",0,0,2.01,0,"3, 2, 0",0,0,2.008,0,"6, 1, 4",0,0,2.107,0,"4, 7, 6",0,0,2.007,0,"8, 24, 10",0,0,2.007,0,"11, 33, 20",0,0,2.107,0,"91, 55, 80",0,0,2.008,0,he’s playing in the leaves ,towel dog ,0,0,2.008,0,she’s a bully ,bag purse ,3-4 times per week,Everyday,,0,-5,Negative,,,Unknown
10/6/2020 10:43,10/6/2020 10:59,IP Address,24.0.163.71,100,938,TRUE,10/6/2020 10:59,R_1ro8MsHbIvFwnZi,,,,,39.97689819,-74.16010284,anonymous,EN,Female,21,College of Science and Health,The dog ran fast in order to get the ball.,The student goes to school to learn the material for the test.,The boy got his clothes all dirty while playing baseball,The friends were in different cars and they all got stuck in the same traffic jam in the tunnel on the way to the party. ,"During the summer, my family spends everyday at the beach, and we always get ice cream the night before school starts. ","The girl ruined her prom dress at school, but she had time to go shopping for a new one.",1.896,1.896,2.146,1,"3,2,0",0,0,2.146,0,"6,1,4",0,0,2.15,0,"4,7,6",0,0,2.148,0,"8,24,10",0,0,2.148,0,"11,33,18",0,0,2.145,0,"91,55,40",0,0,2.146,0,He’s playing in the leaves.,Towel dog ,0,0,2.145,0,She’s laughing and staring at the girl who’s falling.,Bat purse ,3-4 times per week,3-4 times per week,,1,-4,Negative,,,Unknown
10/6/2020 10:49,10/6/2020 11:03,IP Address,47.17.11.47,100,844,TRUE,10/6/2020 11:03,R_2CyypsKCwwEbSht,,,,,40.59210205,-74.62380219,anonymous,EN,Male,20,College of Science and Health,The dog had to run after the ball.,The student took a test at school.,The boy had dirty clothes from baseball practice. ,The car full of friends went slow through the tunnel on the way to the party.,"After school ended in the summer, my family went to the beach and ate icecream.","The girl went shopping for prom, but the school almost ruined her chance of going.",0,0,2.007,0,"3, 2, ",0,0,2.107,0,"6, 1, 4",0,0,2.007,0,"4, 7, 6",0,0,2.008,0,"8, 24, 10",0,0,2.009,0,"11, 33, 18",0,0,2.006,0,"91, 55, 40",0,0,2.108,0,He is playing the pile of leaves. ,Towel dog,0,0,2.006,0,The girl is making fun of the girl who slipped in the cafeteria. ,Bat purse,3-4 times per week,1-2 times per week,,0,3,Positive,,,Unknown
10/6/2020 10:56,10/6/2020 11:08,IP Address,69.126.202.205,100,678,TRUE,10/6/2020 11:08,R_dop4RlalaSZDW2R,,,,,40.99819946,-74.16619873,anonymous,EN,Female,20,College of Science and Health,The dog decided to run towards the ball.,"I am a student at this school, and I'm taking a test.",The boy came home from his baseball game with dirty clothes.,The group of friends drove slowly through a tunnel in their cars on the way to a party,"My family went to the beach in the summer on a school brake, and we ate ice cream.","The girl went shopping for her prom dress for her school dance, but it was ruined when she brought it home.",0,0,2.006,0,"3, 2, 0",0,0,1.454,0,"6, 1, 4",0,0,1.546,0,"4, 7, 6",0,0,2.006,0,"8, 26, ,",0,0,1.215,0,"11, 33, 18",0,0,2.104,0,"91, 55, 40",0,0,2.007,0,He is jumping in the pile of leaves.,towel dog,0,0,1.433,0,She is looking at the girl who is falling. ,bat purse,Everyday,Everyday,,0,-6,Negative,,,Unknown
10/6/2020 11:03,10/6/2020 11:12,IP Address,47.17.22.153,100,514,TRUE,10/6/2020 11:12,R_3hmXLjZ8h32XZji,,,,,40.99789429,-74.29029846,anonymous,EN,Male,20,College of Business,took my dog on a run and he wanted to play ball.,the students at the school take a test every month.,the boy had dirty clothes after his baseball game.,"i meet my freinds at the party, when we left there was traffic in the tunnel as all the cars moved extremely slow.",went to the beach with my family on summer break and had ice cream.,prom was coming up for school and the girl was sad her shopping was ruined.,0,0,2.107,0,"5,4,2",0,0,2.007,0,"8,3,6",0,0,2.107,0,"6,9,8",0,0,2.007,0,"10,26,12",0,0,2.006,0,"13,35,20",0,0,2.007,0,"93,47,52",0,0,2.108,0,he is jumping in leafs ,"towel, dog ",0,0,2.006,0,shes laughing at the first with the yellow shirt.,"bat, purse",Everyday,1-2 times per week,,0,1,Positive,,,Unknown
10/6/2020 10:55,10/6/2020 11:28,IP Address,47.17.11.47,100,2012,TRUE,10/6/2020 11:28,R_1HbZq0CExjS0Mjt,,,,,40.59210205,-74.62380219,anonymous,EN,Female,18,College of Science and Health,The dog runs to get the ball.,"At school, students take tests.",The boy's clothes are dirty because he played baseball. ,The friends wanted to go to a party but the cars were slow in the tunnel.,"It is summer so school is out, and the family went to the beach to eat ice cream.",The school girl went prom dress shopping but it was ruined.,0,0,2.016,0,"3,2,0",0,0,2.007,0,"6,1,4",0,0,2.113,0,"4,7,6",0,0,2.014,0,"8,24,10",0,0,2.013,0,"11,33,18",0,0,2.113,0,"91,55,40",0,0,2.119,0,He is jumping in the leaves.,towel dog,0,0,2.108,0,She is laughing at the girl that is falling.,Bat Purse,Everyday,Everyday,,1,-4,Negative,,,Unknown
10/6/2020 11:31,10/6/2020 11:37,IP Address,149.151.44.75,100,323,TRUE,10/6/2020 11:37,R_2tu0qWfd5rCILPE,,,,,40.94509888,-74.25309753,anonymous,EN,Female,21,College of Humanities and Social Science,the dog had to run to get the ball,"To prepare for the test, the student got to school early",the boy's clothes were dirty after baseball practice,"The cars in the tunnel were driving too slow, making the friends late to the party","When school let out for summer, the family went to the beach and ate ice cream",The girl ruined her prom dress and needed to go shopping for a new one at the last minute,0,0,2.107,0,"3,2,0",0,0,2.107,0,"6,1,4",0,0,2.006,0,"4,7,6",0,0,2.006,0,"8,24,10",0,0,2.007,0,"11,33,18",0,0,2.107,0,"91,55,40",0,0,2.006,0,he is jumping in the pile of leaves,"towel, dog",0,0,2.006,0,she is bullying the girl in yellow,"bat, purse",1-2 times per week,3-4 times per week,,0,-6,Negative,,,Unknown
10/6/2020 11:27,10/6/2020 11:47,IP Address,24.190.228.129,100,1207,TRUE,10/6/2020 11:47,R_21FzVoBgpgX51YF,,,,,40.99789429,-74.29029846,anonymous,EN,Female,21,College of Science and Health,My dog and I run to the ball.,The student takes a test in school.,The boy has dirty baseball clothes.,My friends and I drive our cars slowly through the tunnel to a party.,I love summer because there is no school and I go to the beach with my family and we get ice cream.,That girl in my school ruined my prom shopping experience.,0,0,2.006,0,"3, 2, 0",0,0,2.007,0,"4, 1, 4",0,0,2.006,0,"4, 7, 6",0,0,2.007,0,"8, 24, 10",0,0,2.008,0,"11, 32, 18",0,0,2.006,0,"91, 54, 40",0,0,2.107,0,he is jumping in the leaves,"towel, dog",0,0,1.692,0,she's laughing at the girl falling,"bat, purse",Everyday,3-4 times per week,,0,-5,Negative,,,Unknown
